Var1	Freq	Cd111
4722	1	0.038229256
Sg1533	1	0.037746889
NC358	1	0.0372646
Va59	1	0.036956387
B14A	1	0.035164308
F7	1	0.033838497
Ia5125	1	0.033745423
Pa91	1	0.033598234
Pa880	1	0.033100529
KY228	1	0.032935406
Oh43	1	0.032234764
CML314	1	0.032219122
K148	1	0.031926553
C49A	1	0.031821048
CI3A	1	0.031608254
Ki43	1	0.031305279
VA102	1	0.031163606
CML52	1	0.030542812
Ci90CGoodman-Buckler	1	0.030348163
CI28AGoodman-Buckler	1	0.030062175
Tzi9	1	0.029428207
4226	1	0.029414129
CML323	1	0.028882095
CM105	1	0.028504433
A619	1	0.028452529
DE811	1	0.028033508
IDS91	1	0.028031827
Wf9	1	0.02794549
IDS28	1	0.027360692
Ki14	1	0.027248978
Tzi8	1	0.02707935
Mo46	1	0.027030828
CO125	1	0.02694258
A239	1	0.02693052
H99	1	0.026818493
Pa875	1	0.026774427
B84	1	0.026701623
Oh43E	1	0.026578422
F44	1	0.026566082
W117Ht	1	0.026319673
R168	1	0.026252734
CML311	1	0.026187437
B52	1	0.026164297
M162W	1	0.026008844
NC356	1	0.025904245
Va14	1	0.025778428
W182B	1	0.025758588
i1677a	1	0.025366941
Ki2021	1	0.025323372
B64	1	0.025310063
CML247	1	0.025268846
Tzi25	1	0.0250132
NC306	1	0.024862431
CML91	1	0.024857664
Va85	1	0.024182209
CH701-30	1	0.024166467
H49	1	0.024105528
Il101	1	0.023893394
Os420	1	0.023781096
NC300	1	0.023719423
CM7	1	0.023680688
F2834T	1	0.023670778
W22	1	0.023598141
CML218	1	0.023397989
CI64	1	0.023346962
CML333	1	0.023248562
A554	1	0.023237791
Mo47	1	0.023201885
NC298	1	0.022934022
SC55	1	0.022849597
L578	1	0.022786288
IDS69	1	0.022756038
E2558W	1	0.022726028
R177	1	0.022655325
CO106	1	0.022625002
CI187-2	1	0.022426812
Ki3	1	0.022404868
B10	1	0.022093319
CML322	1	0.022060252
B68	1	0.021950105
NC346	1	0.021826035
DE-2	1	0.021819055
H95	1	0.021598777
CML157Q	1	0.021547979
CML238	1	0.021529493
DE1	1	0.021499432
NC310	1	0.021406521
Pa762	1	0.02093922
NC348	1	0.020475775
NC222	1	0.020397421
T234	1	0.020201299
M14	1	0.020193958
A634	1	0.020065168
CMV3	1	0.02004146
NC336	1	0.020032865
NC352	1	0.019976492
Mo1W	1	0.01991929
CML331	1	0.019809806
T8	1	0.019795854
33-16	1	0.019780874
KY226	1	0.019770241
A641	1	0.019750563
Mo44	1	0.019742093
NC302	1	0.019517127
NC340	1	0.019350164
CML103	1	0.01933359
B164	1	0.018931008
A214NGoodman-Buckler	1	0.018926388
NC230	1	0.018811099
SD44	1	0.018798724
Va17	1	0.018667489
Ci91BGoodman-Buckler	1	0.018608102
WD	1	0.018454188
CML332	1	0.018441308
ND246	1	0.01843439
I137TN	1	0.018428605
Mp339	1	0.018334505
MS1334	1	0.01825582
IA2132Goodman-Buckler	1	0.018255316
B57	1	0.018038325
Tx303	1	0.017933575
CI21E	1	0.017872311
Tx601	1	0.017749606
R4	1	0.017706114
A679	1	0.017700232
NC264	1	0.017699862
A659	1	0.017690836
Va99	1	0.017650615
SA24	1	0.017611289
NC294	1	0.017577978
Ci7Goodman-Buckler	1	0.017545011
B73	1	0.017374751
MS71	1	0.017359889
B73Htrhm	1	0.017319231
Ki44	1	0.01722499
N6	1	0.017210456
W64A	1	0.017167868
NC338	1	0.017160835
NC318	1	0.017107246
K64	1	0.017046971
NC314	1	0.016970311
B109	1	0.016753941
B46	1	0.016493599
SD40	1	0.016444073
CML11	1	0.016218741
Yu796	1	0.016176098
CM174	1	0.016076335
CI66	1	0.016068108
M37W	1	0.015997125
R229	1	0.015993478
A632	1	0.015874347
A680	1	0.01571969
H105W	1	0.015658939
NC238	1	0.015570071
CI31A	1	0.015398881
CML108	1	0.01535243
A635	1	0.015038076
Oh603	1	0.014972163
Va35	1	0.014931976
CML92	1	0.014916218
A654	1	0.014590426
Oh7B	1	0.01456844
NC364	1	0.014408213
B79	1	0.01436575
A188	1	0.014174486
NC320	1	0.014159842
Va26	1	0.014144865
B104	1	0.014051412
B97	1	0.013841063
Va22	1	0.013383727
W153R	1	0.013340453
N192	1	0.013071854
CH9	1	0.012990483
H91	1	0.012900179
B2	1	0.012424106
B105	1	0.012132737
MS153	1	0.012063705
NC326	1	0.012038226
B103	1	0.011716585
NC368	1	0.011309383
K55	1	0.011295377
CM37	1	0.011214298
NC328	1	0.010822168
NC296	1	0.01019483
